"","sources","date","柯文哲","連勝文","馮光遠","未表態"
"2","TVBS","2013-07-15",30,47,NA,23
"3","旺旺中時","2013-09-02",26.6,40.9,NA,32.6
"4","TVBS","2013-09-26",32,42,NA,26
"5","蘋果日報","2013-10-27",35.65,23.77,NA,15.54
"6","趨勢","2013-10-31",39.1,33.5,NA,27.4
"7","旺旺中時","2013-12-17",26.1,30.9,NA,43.3
"8","聯合報系","2013-12-19",38,41,NA,21
"9","TVBS","2013-12-30",47,44,NA,9
"10","趨勢","2014-01-15",58.3,25.9,NA,15.8
"11","旺旺中時","2014-01-27",38,31.7,NA,30.3
"12","蘋果日報","2014-02-07",38.9,30.72,1.48,16.37
"13","森信息","2014-02-19",40.5,33.8,NA,25.7
"14","TVBS","2014-02-24",37,41,NA,22
"15","聯合報系","2014-02-24",39,45,NA,16
"16","蘋果日報","2014-02-24",41.17,41.41,NA,17.42
"17","旺旺中時","2014-02-24",32,29,NA,39
"18","TVBS","2014-03-05",42,43,NA,16
"19","蘋果日報","2014-03-05",42.1,39.41,NA,18.49
"20","民進黨","2014-03-07",42,42,NA,16
"21","蘋果日報","2014-03-17",45.7,36.23,NA,18.07
"22","世新大學","2014-04-03",42.1,38.8,NA,19.1
"23","旺旺中時","2014-04-08",34.3,32.5,NA,33.2
"24","蘋果日報","2014-04-13",36,48.76,NA,15.24
"25","蘋果日報","2014-04-17",35.51,50,NA,14.49
"26","TVBS","2014-04-22",38,47,NA,15
"27","旺旺中時","2014-05-05",36.3,33.4,NA,30.3
"28","趨勢","2014-05-06",43.9,38.3,NA,17.9
"29","台灣指標","2014-05-29",41.4,40.1,NA,18.5
"30","TVBS","2014-06-06",45,39,NA,16
"31","蘋果日報","2014-06-07",47.35,36.73,NA,18.77
"32","民進黨山水全方位","2014-06-12",43,28,NA,29
"33","聯合報系","2014-06-13",34,34,NA,23
"34","蘋果日報","2014-06-13",51.36,24.72,2.39,11.16
"35","趨勢","2014-06-13",41.8,24.1,1.3,19.7
"36","TVBS","2014-06-21",43,29,NA,13
"37","展欣科技","2014-06-26",62.86,37.14,NA,NA
"38","旺旺中時","2014-06-29",31,24.4,NA,36
"39","自由時報","2014-07-01",43.69,23.83,NA,24.23
"40","旺旺中時","2014-07-06",38.6,30.8,NA,20.6
"41","蘋果日報","2014-07-11",44.33,32.82,2.58,10.91
"42","國民黨","2014-07-12",42,38,NA,12
"43","蘋果日報","2014-07-27",45.88,32.41,2.78,9.92
"44","國民黨","2014-07-29",29.78,33.47,NA,32.62
"45","自由時報","2014-08-05",42.98,23.32,0.99,26.78
"46","旺旺中時","2014-08-08",39.5,30.1,NA,30.4
"47","TVBS","2014-08-20",44,33,NA,23
"48","趨勢","2014-08-22",42.7,29.7,3.4,24.2
"49","旺旺中時","2014-08-23",33.4,27.3,NA,39.3
"50","柯文哲團隊","2014-09-03",43,31,NA,26
"51","蘋果日報","2014-09-06",44.18,37.13,2.91,15.78
"52","旺旺中時","2014-09-11",35,30.9,NA,34.1
"53","趨勢","2014-09-13",42.8,25,NA,32.2
"54","壹電視","2014-09-16",40.2,28.8,NA,31
"55","柯文哲團隊","2014-09-16",42,32,NA,26
"56","TVBS","2014-09-17",45,33,2,19
"57","世新大學","2014-09-18",33.9,24.8,1.6,39.7
"58","旺旺中時","2014-09-23",43,35,NA,17
